"country","host_name","network_zone_type","ip_address","data_centre_location","it_service","it_service_owner","rhel_version","network_environment","running_cost_in_usd","infrastructure_component","operational_status"
"US","host4692","LAN","210.98.13.230","New York DC","Database","Adele","RHEL 9","Prod",1013,"rProxy","planned"
"UK","host5976","LAN","221.65.156.161","London DC","Email","David Bowie","RHEL 9","Prod",764,"Mule GW","active"
"UK","host8005","LAN","222.82.129.23","London DC","Database","John Lennon","RHEL 9","Dev",808,"Kong GW","planned"
"US","host7650","DMZ","201.69.58.213","New York DC","Database","Adele","RHEL 8","Dev",1435,"Mule PCE","active"
"US","host9499","DMZ","204.96.219.27","New York DC","Email","John Lennon","RHEL 7","Prod",1924,"rProxy","decommissioning"
"US","host4947","LAN","204.137.196.115","New York DC","Email","Adele","RHEL 8","Prod",1308,"Kong GW","active"
"UK","host9443","LAN","223.146.104.127","London DC","Web Hosting","Adele","RHEL 7","Dev",1382,"MongoDB","decommissioning"
"US","host2234","WAN","215.55.114.116","New York DC","Email","Elton John","RHEL 9","Prod",991,"Hazelcast","planned"
"HK","host5634","DMZ","204.175.52.156","Hong Kong DC","Web Hosting","David Bowie","RHEL 8","Prod",816,"rProxy","planned"
"UK","host9840","LAN","213.194.107.196","London DC","Database","John Lennon","RHEL 9","Dev",801,"Mule GW","planned"
"UK","host9937","LAN","195.25.237.160","London DC","Email","Adele","RHEL 7","Test",1439,"Mule GW","decommissioning"
"US","host2963","LAN","204.222.170.244","New York DC","Database","Elton John","RHEL 9","Prod",885,"Hazelcast","planned"
"US","host5404","LAN","203.231.157.167","New York DC","Database","Adele","RHEL 8","Prod",1356,"Mule GW","active"
"US","host7211","LAN","215.188.179.112","New York DC","Email","David Bowie","RHEL 8","Prod",1152,"Hazelcast","decommissioning"
"US","host3831","DMZ","202.108.149.217","New York DC","Database","Elton John","RHEL 8","Dev",1459,"Mule PCE","active"
"UK","host2612","LAN","201.58.226.154","London DC","File Storage","Adele","RHEL 8","Dev",947,"rProxy","planned"
"US","host4449","LAN","222.53.65.5","New York DC","Web Hosting","Adele","RHEL 9","Test",1190,"Kong GW","planned"
"PL","host3378","LAN","223.37.212.221","Warsaw DC","Web Hosting","David Bowie","RHEL 8","Prod",340,"rProxy","active"
"US","host2551","WAN","212.205.52.133","New York DC","Database","Adele","RHEL 9","Prod",1105,"Kong GW","planned"
"CN","host1677","LAN","210.135.126.55","Beijing DC","Email","Amy Winehouse","RHEL 8","UAT",658,"MongoDB","active"
"PL","host5697","DMZ","223.214.129.73","Warsaw DC","Web Hosting","John Lennon","RHEL 8","Prod",327,"Mule PCE","active"
"UK","host8729","LAN","204.223.62.67","London DC","Database","Adele","RHEL 9","Prod",915,"Mule GW","planned"
"HK","host1423","LAN","200.7.131.181","Hong Kong DC","Monitoring","Adele","RHEL 8","Test",778,"Kong GW","active"
"UK","host7557","WAN","207.213.140.217","London DC","Web Hosting","Amy Winehouse","RHEL 8","Dev",1390,"Kong GW","active"
"UK","host7308","LAN","210.69.112.234","London DC","File Storage","David Bowie","RHEL 9","Test",956,"Mule GW","active"
"PL","host5978","WAN","206.234.28.180","Warsaw DC","Database","John Lennon","RHEL 9","UAT",194,"MongoDB","active"
"US","host5569","DMZ","196.36.50.172","New York DC","Email","John Lennon","RHEL 8","Prod",1086,"Mule PCE","active"
"UK","host6418","LAN","203.95.221.145","London DC","File Storage","Adele","RHEL 8","Prod",814,"Hazelcast","active"
"UK","host9739","WAN","207.16.109.40","London DC","Database","David Bowie","RHEL 9","Prod",927,"Mule GW","active"
"US","host5509","LAN","211.64.89.140","New York DC","Database","Amy Winehouse","RHEL 8","Prod",1019,"Mule GW","active"
"UK","host1589","LAN","195.96.76.75","London DC","Web Hosting","Adele","RHEL 9","Test",734,"Mule GW","active"
"US","host7628","LAN","212.9.1.213","New York DC","Monitoring","Adele","RHEL 8","Dev",1493,"rProxy","active"
"US","host2464","LAN","211.145.33.195","New York DC","Database","David Bowie","RHEL 8","Prod",1085,"Hazelcast","active"
"US","host7612","LAN","212.51.95.165","New York DC","Email","Amy Winehouse","RHEL 7","Prod",1570,"Mule PCE","decommissioning"
"US","host7639","LAN","195.62.50.179","New York DC","Email","Adele","RHEL 8","Prod",1394,"rProxy","active"
"UK","host3229","LAN","208.128.142.231","London DC","Web Hosting","Adele","RHEL 8","Prod",1396,"MongoDB","decommissioning"
"UK","host2021","WAN","208.50.220.187","London DC","Web Hosting","David Bowie","RHEL 7","Dev",1201,"Hazelcast","decommissioning"
"US","host4755","DMZ","201.89.103.236","New York DC","Database","David Bowie","RHEL 7","Dev",1547,"rProxy","decommissioning"
"UK","host3304","LAN","205.216.28.153","London DC","Web Hosting","Adele","RHEL 8","Prod",1147,"Kong GW","planned"
"PL","host8988","LAN","197.231.26.83","Warsaw DC","Database","Amy Winehouse","RHEL 8","UAT",574,"rProxy","active"
"PL","host3383","DMZ","217.166.115.169","Warsaw DC","Email","Amy Winehouse","RHEL 8","Test",514,"Mule PCE","decommissioning"
"US","host2458","LAN","220.134.238.173","New York DC","Database","Adele","RHEL 8","Prod",1402,"Mule PCE","active"
"US","host7603","WAN","202.164.177.160","New York DC","Email","Amy Winehouse","RHEL 9","Test",1200,"Kong GW","planned"
"UK","host7930","DMZ","194.109.175.55","London DC","Email","David Bowie","RHEL 8","Prod",1305,"Mule GW","active"
"CN","host2507","LAN","219.75.42.38","Beijing DC","Web Hosting","Adele","RHEL 8","Dev",400,"Hazelcast","decommissioning"
"UK","host2864","DMZ","197.67.209.139","London DC","Database","David Bowie","RHEL 9","Dev",890,"Hazelcast","planned"
"CN","host2350","WAN","219.49.119.22","Beijing DC","Database","John Lennon","RHEL 7","Prod",769,"rProxy","active"
"UK","host8398","LAN","195.103.103.65","London DC","Database","Adele","RHEL 8","Dev",1011,"rProxy","decommissioning"
"US","host2716","LAN","214.151.166.198","New York DC","Monitoring","Elton John","RHEL 9","Dev",814,"Hazelcast","planned"
"UK","host7181","LAN","223.235.213.237","London DC","Monitoring","David Bowie","RHEL 9","Prod",628,"Hazelcast","active"
"US","host5940","LAN","204.159.10.202","New York DC","Email","Elton John","RHEL 8","Prod",1355,"Mule GW","active"
"UK","host5204","LAN","221.54.28.23","London DC","Database","Elton John","RHEL 9","Prod",722,"rProxy","planned"
"PL","host9836","LAN","216.215.184.56","Warsaw DC","Database","Elton John","RHEL 7","Prod",790,"Hazelcast","active"
"UK","host9533","LAN","213.94.43.242","London DC","Database","Elton John","RHEL 7","Prod",1406,"Hazelcast","decommissioning"
"UK","host3969","WAN","203.234.163.215","London DC","Monitoring","Adele","RHEL 8","Prod",807,"Kong GW","planned"
"UK","host8273","LAN","200.159.83.36","London DC","Database","Amy Winehouse","RHEL 8","Dev",1132,"rProxy","decommissioning"
"HK","host6444","LAN","197.165.99.90","Hong Kong DC","Monitoring","John Lennon","RHEL 7","Dev",957,"rProxy","decommissioning"
"UK","host6590","LAN","201.100.187.167","London DC","Web Hosting","David Bowie","RHEL 9","Dev",987,"Mule GW","planned"
"UK","host7069","LAN","197.93.66.227","London DC","File Storage","David Bowie","RHEL 7","Dev",1438,"MongoDB","decommissioning"
"US","host8846","DMZ","199.115.191.245","New York DC","Monitoring","Adele","RHEL 8","Dev",1032,"Hazelcast","active"
"US","host9499","LAN","197.43.93.87","New York DC","Database","Amy Winehouse","RHEL 8","Prod",1341,"Hazelcast","decommissioning"
"HK","host4236","LAN","218.247.45.228","Hong Kong DC","Email","Adele","RHEL 7","Dev",818,"Kong GW","active"
"UK","host9881","LAN","210.16.181.175","London DC","File Storage","David Bowie","RHEL 7","Prod",1505,"Hazelcast","decommissioning"
"US","host5723","WAN","212.37.74.42","New York DC","Monitoring","Adele","RHEL 9","Prod",849,"rProxy","planned"
"US","host6435","LAN","193.229.197.77","New York DC","Email","David Bowie","RHEL 7","Prod",1695,"rProxy","decommissioning"
"PL","host8533","LAN","200.193.197.190","Warsaw DC","Database","Elton John","RHEL 8","Prod",444,"Hazelcast","active"
"UK","host8546","LAN","216.201.85.54","London DC","Web Hosting","Adele","RHEL 8","Prod",1341,"Kong GW","active"
"UK","host7049","DMZ","216.252.110.102","London DC","Email","Adele","RHEL 8","Prod",1014,"Hazelcast","active"
"UK","host4119","LAN","196.47.146.250","London DC","Web Hosting","Elton John","RHEL 8","Dev",847,"Mule PCE","planned"
"UK","host2356","LAN","194.174.58.100","London DC","Web Hosting","David Bowie","RHEL 8","Test",1213,"Mule GW","active"
"US","host4890","LAN","210.36.111.97","New York DC","Database","Adele","RHEL 7","Prod",1609,"Mule GW","decommissioning"
"PL","host7968","LAN","222.252.145.179","Warsaw DC","Database","David Bowie","RHEL 8","Dev",375,"Mule GW","active"
"HK","host6733","DMZ","222.249.233.150","Hong Kong DC","Web Hosting","David Bowie","RHEL 8","Dev",755,"rProxy","decommissioning"
"PL","host5237","LAN","213.235.166.207","Warsaw DC","Web Hosting","David Bowie","RHEL 8","Prod",587,"rProxy","active"
"UK","host4435","WAN","207.151.18.32","London DC","Web Hosting","Elton John","RHEL 9","Dev",736,"Hazelcast","planned"
"US","host9729","WAN","222.138.89.190","New York DC","Monitoring","David Bowie","RHEL 8","Test",1308,"rProxy","active"
"UK","host7561","LAN","204.42.244.54","London DC","Database","Adele","RHEL 8","Prod",1191,"Hazelcast","active"
"HK","host4249","LAN","217.155.136.67","Hong Kong DC","Web Hosting","John Lennon","RHEL 8","Test",752,"Kong GW","active"
"CN","host8994","LAN","208.164.90.194","Beijing DC","Database","Amy Winehouse","RHEL 9","Prod",450,"Mule PCE","planned"
"US","host6709","LAN","197.245.95.209","New York DC","Web Hosting","Amy Winehouse","RHEL 8","Prod",1284,"rProxy","active"
"US","host5137","LAN","210.211.43.168","New York DC","Database","Adele","RHEL 7","Dev",1790,"Mule GW","planned"
"PL","host5358","DMZ","213.178.38.122","Warsaw DC","Web Hosting","David Bowie","RHEL 8","Prod",345,"Hazelcast","planned"
"UK","host3687","DMZ","204.47.119.238","London DC","File Storage","Amy Winehouse","RHEL 9","Test",985,"Hazelcast","planned"
"US","host9492","LAN","205.49.34.19","New York DC","File Storage","Adele","RHEL 8","Prod",1100,"Mule PCE","planned"
"UK","host1842","WAN","214.10.15.243","London DC","File Storage","Elton John","RHEL 9","Prod",986,"Hazelcast","planned"
"US","host6062","LAN","208.173.12.189","New York DC","Web Hosting","Elton John","RHEL 9","Prod",1168,"rProxy","active"
"PL","host6673","WAN","212.77.113.19","Warsaw DC","Web Hosting","John Lennon","RHEL 8","Test",434,"Kong GW","active"
"US","host6734","LAN","202.176.94.173","New York DC","Web Hosting","Amy Winehouse","RHEL 9","Prod",827,"Hazelcast","active"
"UK","host8134","WAN","221.32.158.101","London DC","File Storage","Amy Winehouse","RHEL 8","Prod",1241,"Kong GW","active"
"UK","host7402","WAN","203.26.128.205","London DC","Web Hosting","Adele","RHEL 8","Test",833,"Mule PCE","decommissioning"
"US","host5588","LAN","207.103.248.114","New York DC","Database","Elton John","RHEL 8","Prod",1220,"Mule PCE","planned"
"CN","host1220","LAN","202.29.233.75","Beijing DC","File Storage","Adele","RHEL 7","Prod",544,"Mule GW","decommissioning"
"PL","host5190","WAN","201.95.70.31","Warsaw DC","Email","Adele","RHEL 8","Prod",471,"rProxy","active"
"UK","host6643","DMZ","216.127.3.113","London DC","Database","Adele","RHEL 9","Prod",825,"Hazelcast","planned"
"US","host7174","LAN","213.149.234.29","New York DC","Web Hosting","John Lennon","RHEL 9","Dev",1195,"rProxy","active"
"PL","host4266","WAN","202.38.245.105","Warsaw DC","Email","Amy Winehouse","RHEL 7","Test",674,"MongoDB","decommissioning"
"UK","host8506","LAN","222.242.38.65","London DC","Email","Amy Winehouse","RHEL 9","Prod",857,"Hazelcast","active"
"PL","host2047","LAN","195.221.190.224","Warsaw DC","Database","Amy Winehouse","RHEL 7","Dev",613,"Kong GW","decommissioning"
"US","host1925","WAN","205.89.140.6","New York DC","Email","John Lennon","RHEL 7","UAT",1662,"rProxy","decommissioning"
"US","host6517","WAN","200.81.191.89","New York DC","Monitoring","David Bowie","RHEL 7","Prod",1717,"rProxy","decommissioning"
"PL","host8254","LAN","213.27.29.153","Warsaw DC","File Storage","David Bowie","RHEL 8","Test",438,"Mule GW","active"
"PL","host6728","LAN","202.157.207.18","Warsaw DC","File Storage","Adele","RHEL 8","Prod",558,"rProxy","active"
"UK","host6783","LAN","205.22.154.108","London DC","Monitoring","David Bowie","RHEL 9","Dev",868,"Kong GW","planned"
"UK","host9278","DMZ","200.249.176.223","London DC","Web Hosting","David Bowie","RHEL 9","Prod",683,"rProxy","planned"
"UK","host4491","LAN","214.157.77.66","London DC","Email","Adele","RHEL 8","Prod",874,"Kong GW","planned"
"UK","host4254","WAN","201.225.98.89","London DC","Email","Elton John","RHEL 7","Prod",1645,"MongoDB","decommissioning"
"US","host6207","LAN","208.178.209.43","New York DC","Database","Adele","RHEL 7","Prod",1828,"rProxy","decommissioning"
"PL","host9726","DMZ","203.101.230.150","Warsaw DC","File Storage","Elton John","RHEL 9","Prod",286,"rProxy","planned"
"UK","host3061","WAN","216.92.147.238","London DC","Monitoring","Adele","RHEL 9","Prod",708,"Hazelcast","active"
"PL","host2408","DMZ","220.102.146.253","Warsaw DC","Email","Adele","RHEL 8","Dev",403,"Kong GW","planned"
"CN","host8995","DMZ","214.170.132.5","Beijing DC","Web Hosting","Adele","RHEL 9","Dev",563,"Mule GW","planned"
"US","host4900","LAN","196.227.108.14","New York DC","Database","Adele","RHEL 9","Prod",1105,"MongoDB","active"
"PL","host7827","WAN","217.131.196.96","Warsaw DC","Web Hosting","David Bowie","RHEL 9","Prod",162,"Hazelcast","planned"
"UK","host1677","LAN","206.22.189.1","London DC","Email","Elton John","RHEL 9","Prod",799,"Mule GW","active"
"PL","host7516","DMZ","210.83.9.235","Warsaw DC","Database","David Bowie","RHEL 9","Prod",224,"Kong GW","planned"
"US","host9001","LAN","222.126.105.54","New York DC","Database","Adele","RHEL 8","Dev",1092,"Mule GW","active"
"PL","host6266","LAN","212.66.172.75","Warsaw DC","Web Hosting","Adele","RHEL 9","Prod",374,"Kong GW","planned"
"UK","host7261","LAN","193.49.19.239","London DC","Database","Adele","RHEL 9","UAT",991,"Mule PCE","planned"
"PL","host9015","LAN","207.227.124.181","Warsaw DC","File Storage","David Bowie","RHEL 8","Prod",389,"Mule PCE","planned"
"US","host7147","LAN","194.204.204.178","New York DC","Web Hosting","Adele","RHEL 9","Prod",889,"Kong GW","active"
"US","host5742","WAN","196.75.138.50","New York DC","Web Hosting","David Bowie","RHEL 8","Prod",1145,"Kong GW","active"
"UK","host4053","LAN","211.206.109.143","London DC","Email","Elton John","RHEL 8","Dev",1261,"Kong GW","planned"
"US","host6069","LAN","209.237.38.226","New York DC","File Storage","Elton John","RHEL 8","Prod",1334,"Mule GW","decommissioning"
"UK","host4987","WAN","222.102.251.163","London DC","Database","Elton John","RHEL 8","Dev",1015,"Hazelcast","decommissioning"
"US","host8586","WAN","194.25.12.10","New York DC","File Storage","John Lennon","RHEL 9","Prod",1006,"Mule GW","planned"
"US","host7233","DMZ","210.30.144.186","New York DC","Email","Adele","RHEL 8","Prod",1023,"Kong GW","active"
"HK","host8348","LAN","206.15.48.239","Hong Kong DC","Web Hosting","Adele","RHEL 8","Dev",743,"Kong GW","active"
"UK","host4023","LAN","198.97.203.226","London DC","Email","Amy Winehouse","RHEL 9","Test",979,"MongoDB","planned"
"UK","host3758","LAN","214.14.24.124","London DC","Web Hosting","David Bowie","RHEL 7","UAT",1241,"Kong GW","decommissioning"
"UK","host5818","LAN","219.246.235.99","London DC","Email","Adele","RHEL 9","Prod",711,"rProxy","active"
"US","host7559","WAN","197.70.206.230","New York DC","Email","Elton John","RHEL 8","Dev",1101,"rProxy","active"
"UK","host7767","WAN","216.45.162.230","London DC","File Storage","Elton John","RHEL 9","Test",741,"Mule PCE","planned"
"UK","host6676","DMZ","215.96.207.178","London DC","Monitoring","Adele","RHEL 8","Test",1265,"Mule PCE","active"
"PL","host1570","DMZ","211.243.216.41","Warsaw DC","Database","Adele","RHEL 9","Test",347,"Hazelcast","planned"
"UK","host1238","LAN","210.225.115.237","London DC","Web Hosting","Amy Winehouse","RHEL 8","Dev",1010,"Mule GW","active"
"HK","host8314","LAN","206.63.241.14","Hong Kong DC","Monitoring","Amy Winehouse","RHEL 8","UAT",764,"Kong GW","active"
"US","host4322","WAN","210.38.61.243","New York DC","Database","Elton John","RHEL 8","Prod",1134,"Kong GW","decommissioning"
"US","host6424","LAN","220.159.77.196","New York DC","Email","Amy Winehouse","RHEL 7","Dev",1792,"Mule PCE","decommissioning"
"UK","host9856","WAN","219.35.31.153","London DC","File Storage","Adele","RHEL 8","Dev",843,"Mule GW","planned"
"US","host8250","LAN","223.232.123.90","New York DC","File Storage","David Bowie","RHEL 8","Prod",1057,"Mule PCE","active"
"UK","host9022","LAN","200.157.20.142","London DC","Web Hosting","David Bowie","RHEL 9","Dev",683,"Hazelcast","planned"
"UK","host9070","LAN","215.159.167.54","London DC","Database","Adele","RHEL 8","Dev",1389,"rProxy","active"
"UK","host2327","LAN","201.106.129.191","London DC","Database","Elton John","RHEL 8","Prod",1123,"rProxy","planned"
"US","host5070","LAN","203.234.51.136","New York DC","Email","Adele","RHEL 7","Prod",1946,"rProxy","decommissioning"
"UK","host7857","DMZ","205.142.169.128","London DC","Database","Adele","RHEL 8","Prod",1294,"rProxy","active"
"US","host7898","DMZ","202.34.114.237","New York DC","Database","Adele","RHEL 7","Test",1702,"Kong GW","decommissioning"
"US","host8021","LAN","198.230.89.103","New York DC","Database","Elton John","RHEL 8","Prod",1183,"Hazelcast","planned"
"PL","host5277","DMZ","207.48.201.85","Warsaw DC","Web Hosting","Amy Winehouse","RHEL 7","Prod",538,"rProxy","decommissioning"
"US","host8817","WAN","203.87.37.230","New York DC","File Storage","David Bowie","RHEL 7","Dev",1723,"Hazelcast","decommissioning"
"US","host3879","LAN","201.235.209.124","New York DC","Email","Adele","RHEL 8","Test",1422,"MongoDB","active"
"US","host4024","WAN","209.18.85.39","New York DC","Email","Adele","RHEL 7","Prod",1618,"Hazelcast","decommissioning"
"US","host7955","LAN","222.255.141.5","New York DC","Database","Adele","RHEL 9","Prod",931,"Hazelcast","planned"
"UK","host1831","LAN","199.22.193.170","London DC","Database","Adele","RHEL 8","Dev",902,"MongoDB","active"
"UK","host9246","LAN","201.2.77.44","London DC","File Storage","Amy Winehouse","RHEL 9","Prod",820,"Hazelcast","active"
"UK","host6768","DMZ","220.13.254.26","London DC","Monitoring","John Lennon","RHEL 8","Prod",913,"rProxy","active"
"US","host6364","DMZ","221.80.95.228","New York DC","Email","David Bowie","RHEL 7","Prod",1916,"Mule GW","active"
"UK","host4538","LAN","212.143.74.228","London DC","Monitoring","Adele","RHEL 8","Prod",1070,"MongoDB","active"
"US","host6429","LAN","221.24.32.228","New York DC","Email","David Bowie","RHEL 8","Prod",1293,"Hazelcast","decommissioning"
"US","host9178","LAN","196.129.209.47","New York DC","Web Hosting","Adele","RHEL 8","Prod",1435,"rProxy","decommissioning"
"US","host2675","LAN","219.199.60.143","New York DC","Email","David Bowie","RHEL 7","Prod",1868,"MongoDB","decommissioning"
"UK","host7710","LAN","208.202.117.14","London DC","Database","Elton John","RHEL 7","Test",1709,"Hazelcast","decommissioning"
"PL","host8024","WAN","198.252.184.189","Warsaw DC","Database","David Bowie","RHEL 8","Dev",307,"rProxy","planned"
"US","host6286","DMZ","210.175.45.224","New York DC","File Storage","Adele","RHEL 8","Prod",1393,"Hazelcast","active"
"UK","host7192","LAN","221.103.3.77","London DC","Web Hosting","David Bowie","RHEL 7","Prod",1795,"Hazelcast","active"
"US","host3015","WAN","194.172.65.190","New York DC","Email","Adele","RHEL 8","Prod",1376,"rProxy","active"
"UK","host4697","WAN","207.3.252.59","London DC","Email","John Lennon","RHEL 8","Dev",1378,"Mule GW","active"
"US","host6245","WAN","212.93.29.69","New York DC","Email","Adele","RHEL 8","Test",1441,"Kong GW","decommissioning"
"PL","host6842","LAN","222.40.111.89","Warsaw DC","Database","Adele","RHEL 7","Prod",522,"Hazelcast","decommissioning"
"CN","host4113","LAN","198.84.187.149","Beijing DC","Email","Elton John","RHEL 9","Dev",886,"Hazelcast","planned"
"UK","host3504","DMZ","209.0.24.39","London DC","Database","Amy Winehouse","RHEL 8","Prod",1383,"Kong GW","active"
"US","host1637","DMZ","208.50.113.101","New York DC","Database","Amy Winehouse","RHEL 9","Dev",865,"Hazelcast","planned"
"US","host9336","LAN","204.81.12.240","New York DC","Email","Amy Winehouse","RHEL 9","Dev",847,"Mule PCE","planned"
"PL","host1229","WAN","212.234.192.33","Warsaw DC","Web Hosting","Elton John","RHEL 7","Dev",585,"rProxy","decommissioning"
"UK","host8575","WAN","223.61.114.114","London DC","Database","John Lennon","RHEL 9","Test",712,"rProxy","planned"
"PL","host6853","LAN","220.155.119.251","Warsaw DC","Monitoring","Amy Winehouse","RHEL 8","Prod",384,"Mule PCE","active"
"HK","host7663","DMZ","223.143.144.133","Hong Kong DC","Database","Adele","RHEL 9","Prod",668,"Hazelcast","active"
"UK","host8786","DMZ","203.216.159.171","London DC","Database","David Bowie","RHEL 8","Test",1390,"rProxy","active"
"US","host3784","LAN","192.90.134.221","New York DC","Email","John Lennon","RHEL 8","Prod",1472,"Kong GW","active"
"UK","host5661","LAN","194.37.153.102","London DC","Database","Adele","RHEL 7","Test",1404,"Mule PCE","decommissioning"
"US","host4922","LAN","223.124.98.101","New York DC","Database","Amy Winehouse","RHEL 8","Dev",1493,"rProxy","active"
"US","host3565","LAN","192.21.126.69","New York DC","Web Hosting","Amy Winehouse","RHEL 7","Dev",1940,"rProxy","decommissioning"
"US","host8212","DMZ","200.224.111.93","New York DC","Email","Amy Winehouse","RHEL 8","Dev",1233,"Kong GW","active"
"US","host3117","WAN","206.99.92.198","New York DC","Database","Adele","RHEL 8","Test",1051,"Hazelcast","active"
"US","host9327","LAN","215.185.237.194","New York DC","Web Hosting","Adele","RHEL 8","Prod",1358,"Mule GW","active"
"UK","host4285","DMZ","197.26.100.224","London DC","Web Hosting","Amy Winehouse","RHEL 8","Test",1139,"MongoDB","active"
"PL","host9740","LAN","222.133.29.84","Warsaw DC","File Storage","David Bowie","RHEL 8","Dev",413,"rProxy","active"
"UK","host4857","DMZ","211.205.251.170","London DC","File Storage","David Bowie","RHEL 7","Dev",1515,"Hazelcast","active"
"US","host9787","LAN","194.18.9.156","New York DC","Monitoring","Adele","RHEL 8","Dev",1389,"Kong GW","active"
"UK","host8484","LAN","200.142.178.17","London DC","Email","Amy Winehouse","RHEL 8","Prod",1227,"Mule PCE","decommissioning"
"PL","host3647","LAN","217.119.41.107","Warsaw DC","Email","John Lennon","RHEL 8","Prod",375,"Hazelcast","active"
"HK","host4377","LAN","202.167.254.227","Hong Kong DC","Monitoring","Adele","RHEL 8","Dev",887,"Hazelcast","active"
"UK","host4165","LAN","211.178.150.252","London DC","File Storage","David Bowie","RHEL 9","Test",932,"Kong GW","planned"
"PL","host8665","LAN","220.159.101.213","Warsaw DC","File Storage","David Bowie","RHEL 7","Test",738,"Mule GW","active"
"PL","host4405","LAN","217.212.168.150","Warsaw DC","Email","Elton John","RHEL 8","Prod",458,"Mule GW","planned"
"PL","host8668","LAN","214.46.33.213","Warsaw DC","File Storage","Amy Winehouse","RHEL 8","Prod",537,"rProxy","active"
"HK","host8828","WAN","212.48.82.96","Hong Kong DC","Web Hosting","John Lennon","RHEL 8","Test",680,"Hazelcast","decommissioning"
"UK","host9368","LAN","205.157.226.51","London DC","Email","John Lennon","RHEL 9","Prod",989,"Mule GW","planned"
"UK","host8377","LAN","192.235.20.132","London DC","Database","Amy Winehouse","RHEL 8","Test",948,"rProxy","active"
"US","host4239","DMZ","217.246.25.68","New York DC","Monitoring","Amy Winehouse","RHEL 8","Prod",1490,"Hazelcast","decommissioning"
"PL","host7292","LAN","212.217.69.181","Warsaw DC","Email","John Lennon","RHEL 8","Prod",367,"Mule PCE","active"
"HK","host1560","WAN","196.17.212.31","Hong Kong DC","Email","John Lennon","RHEL 8","Prod",555,"MongoDB","active"
"UK","host1515","LAN","192.122.209.51","London DC","Web Hosting","Adele","RHEL 9","UAT",906,"Hazelcast","planned"
"UK","host7828","LAN","211.190.7.92","London DC","Web Hosting","Amy Winehouse","RHEL 7","UAT",1390,"rProxy","decommissioning"
"US","host8035","WAN","222.214.222.223","New York DC","Database","Elton John","RHEL 8","Dev",1314,"rProxy","active"
"US","host1803","LAN","217.131.239.111","New York DC","Web Hosting","David Bowie","RHEL 9","Dev",1033,"Hazelcast","planned"
"UK","host8266","LAN","192.243.191.223","London DC","Database","Amy Winehouse","RHEL 8","Dev",1270,"Hazelcast","active"
"UK","host2422","LAN","206.111.236.161","London DC","File Storage","David Bowie","RHEL 9","Prod",795,"rProxy","planned"
"PL","host4621","WAN","218.204.170.225","Warsaw DC","Email","Adele","RHEL 8","Prod",441,"Mule PCE","active"
"US","host9692","LAN","203.250.149.167","New York DC","Monitoring","Adele","RHEL 9","Prod",1074,"Mule GW","planned"
"UK","host9857","DMZ","214.15.76.173","London DC","Email","Adele","RHEL 8","Prod",1173,"MongoDB","active"
"UK","host7183","LAN","218.141.99.135","London DC","Database","Elton John","RHEL 8","UAT",1369,"Mule PCE","active"
"UK","host3850","LAN","198.44.213.113","London DC","Email","Adele","RHEL 9","Prod",866,"Kong GW","planned"
"PL","host5448","WAN","200.116.9.173","Warsaw DC","Email","Elton John","RHEL 9","Prod",237,"Hazelcast","planned"
"US","host6667","WAN","197.122.83.166","New York DC","Database","Adele","RHEL 9","Test",1152,"Hazelcast","planned"
"US","host9336","LAN","209.250.135.184","New York DC","Email","Adele","RHEL 7","Dev",1624,"rProxy","active"
"UK","host9527","DMZ","196.8.74.43","London DC","File Storage","Adele","RHEL 8","Dev",1065,"MongoDB","decommissioning"
"UK","host7643","DMZ","223.22.170.214","London DC","Database","David Bowie","RHEL 8","Prod",1195,"Kong GW","active"
"US","host7142","LAN","203.116.31.161","New York DC","Email","Amy Winehouse","RHEL 9","Test",1186,"rProxy","planned"
"UK","host2202","LAN","219.124.17.101","London DC","Email","Adele","RHEL 7","Dev",1670,"Mule GW","active"
"US","host6150","LAN","195.129.63.26","New York DC","Database","Amy Winehouse","RHEL 8","Dev",1301,"Hazelcast","active"
"US","host1570","WAN","204.4.115.58","New York DC","Web Hosting","Adele","RHEL 9","Dev",1120,"Kong GW","planned"
"UK","host3451","LAN","202.5.253.220","London DC","Email","Adele","RHEL 8","Prod",1343,"Hazelcast","active"
"US","host3305","DMZ","192.239.40.43","New York DC","File Storage","Elton John","RHEL 8","Prod",1391,"rProxy","active"
"US","host2347","LAN","216.125.103.166","New York DC","Database","Amy Winehouse","RHEL 8","Dev",1337,"rProxy","active"
"UK","host7571","WAN","212.216.162.166","London DC","Email","Adele","RHEL 8","Dev",1370,"Mule GW","active"
"UK","host5399","WAN","212.139.16.230","London DC","Monitoring","Adele","RHEL 8","Prod",1143,"Hazelcast","active"
"US","host1123","LAN","209.54.67.220","New York DC","Web Hosting","Adele","RHEL 7","Prod",1956,"Hazelcast","decommissioning"
"UK","host9499","LAN","219.199.21.113","London DC","Email","Elton John","RHEL 9","Dev",921,"Hazelcast","planned"
"PL","host2553","LAN","209.49.127.212","Warsaw DC","Email","Amy Winehouse","RHEL 7","Prod",624,"rProxy","decommissioning"
"US","host7874","LAN","213.157.149.11","New York DC","Web Hosting","Adele","RHEL 9","Dev",983,"Hazelcast","active"
"UK","host6784","WAN","207.221.142.91","London DC","Database","John Lennon","RHEL 8","Dev",1269,"Kong GW","decommissioning"
"PL","host2128","WAN","221.27.174.246","Warsaw DC","Monitoring","David Bowie","RHEL 7","Prod",713,"Hazelcast","planned"
